순번,민원제목,민원내용,민원등록일,민원수정일,민원답변일,처리부서,진행상태,구
527,하이안아파트 인근 악취 근원지 해결 요청,<장애인 전용주차구역 불법주차> 장애인 주차자리에 주차하였네요 (1/1) A : 2018.08.11 13:45:48 A :  : I :  .[  : 1522-0660 ()],2018-08-14,,2018-08-23,친환경축산과,처리완료,부안읍
528,유기견보호소,혹시 5리터 종량제 봉투가 익산에 있는지 궁금합니다.. 있다면 어디서 구입가능한가요? 다른시들에는 있던데 없다면 만들어주시면 안되나요? 일인가구도 많아지는데 집에 며칠만둬도 벌레가 꼬여요.,2017-10-11,2017-10-11,,,처리완료,부안읍
529,주차 프로그램.,영등공원농구대에 그물이 없어서 불편 합니다.,2018-01-18,2018-01-18,2018-01-18,교통행정과,처리완료,부안읍
530,금마면 불법비닐하우스와 컨네이너박스철거요청,모현도서관 앞 삼거리 부영1차아파트 옆(광고물 게시대와 도로표지대 사이) 인도 약 2m 가량은 비가 조금이라도 내리면 물이 고여서 옆에 있는 화단으로 올라서서 다녀야 하는 불편이 있습니다,2018-04-23,2018-04-23,2018-04-25,도로공원과,처리완료,부안읍
531,주택붕괴위험,시정을 위해 수고하시는 시장님과 시청 직원 분들께 감사드립니다붕괴위험장소    익산시 현영동 405-1저는 익산시 현영동 405번지에서 유통업을 하고있습니다옆집인 405-1번지의 2층주택이 작년부터 붕괴가 시작되어현재는 비바람이 부는 날에는 저희 사무실인 405번지로중량물이 날아오는 등 피해가 발생하고 있습니다405-1의 소유주도 알지 못하고 특히 2층집이어서 옆으로 전도될 시에는대형 사고가 발생할수 있어서 이렇게 글을 올리며 부탁드립니다곧 장마철이 시작되는데 제 생생각에는 올해 무너질거 같습니다바쁘시지겠지만 선의의 피해자가 발생하지 않게 처리 부탁드립니다감사합니다,2018-03-12,2018-03-12,2018-03-13,주택과,처리완료,변산면
532,김제시청 중요 시설물에 QR코드 설치(시민들이 알권리 실현),김제시 최초 탄생 한눈에 바로 보기!!,2017-09-19,,2017-10-17,안전총괄과,처리완료,부안읍
533,도시 미관 저해,"안녕하세요?저는 익산시 황동면 동연리 597-1호에 거주하고 계신 송두헌의 자 송재훈입니다.다름이 아니오라이번 설명절 고향집에 방문하였는데 어머님께서 근심이 많으시다면저에게 하소연을 하여 시정을 요구하기 위하여 이렇게 민원을 제기하오니적극적으로 검토 후 조치하여 주시기 바랍니다.  저희 집 앞에서 약 50m 전방 우측에 건축을하기 위하여 답(畓)에 성토를하여 놓았는데 저 생각으로는 익산시에 건축허가 또는 가설물 축조신고 후건축할 것으로 추정은 되어 거기에는 큰 이견이 없습니다.  그런데별첨사진에서 보시는 바와 건축예정인 토지 옆 배수로 위에콘크리트 덮게(120cm&times;120cm, 14개)를 설치하여 행정재산(하천)을 점용하려고하는 것에 대하여 이의를 제기하는 것입니다.  저희는(동연리 597-1)은 약 15년전에 이사하여 살고 있는데집중호우시 배수가 잘 되지 않아 매년 1~2차례 축대 바로 밑까지물이차이곤 하였는데최근에 집 옆으로 새로운 도로를 개설하면서배수로 용량이 적고, 또한 공사비 절감 등 위해서 였는지는 모르지만 배수로를ㄹ(리을 자) 형식으로 설치하여집중호우시 3~4차례 저희 집 축대를 넘기기 직전까지 우수가 올라오는 실정으로부모님 걱정이 이만저만이 아니십니다.(신설도로 개설 후 벼 윗부분 침수사례는 물론 저희 집 축대까지 차은빈도가 점점 증가하고 있음)  오늘 민원을 제기하는 것이 저희집 앞 50m 전방에 있는 배수로설계가 잘못되었다는 것이 쟁점은 아니지만, 간단히 언급을 한다면별첨사진 「마」로 첨부한 것 처럼 현재의 배수로 꼭지점을 기준으로`가 &rarr; 나 &rarr; 다 &rarr; 라` 즉 ㄹ(리을)자 형식으로 설치되어 있는데배수로 설치의 목적과 역할을 위하여는 &lsquo;가 &rarr; 나 &rarr; 라&rsquo; 즉 일자로 설치하는 것이맞다고 생각합니다.  존경하는 익산시장님이렇게 ㄹ(리을)자로 설치된 U자 배수의 1/3은 항상 퇴적물로 쌓여 있어(별첨 사진 `마&lsquo;의 가~라 까지) 배수가 잘 되지 않아 집중호우시저희 어머님께서 익산시청 또는 황등면사무소에 매년 준설을 요청하고 있는실정입니다.  따라서이러한 상황에상기 건축현장(또는 가설건출물) 옆 배수로 약 17.6m를영구적으로 콘크리트로 덮고 복토 후 차량 진출입로 등으로 사용한다면①퇴적물 등으로 인하여 당초 설계된 배수용량 기준 66%만 수행하게 되어당초 배수용량 만큼의 배수로 역할을 할 수 없고(사람으로 치면 동맥경화 현상으로 뇌출혈 발생)②약 17.6m를 영구적으로 복개 후 사용할 경우 매년 퇴적물 준설시 마다별도의 준설기계를 이용함에 따른 막대한 예산이 소요될 것이 자명하고③집중호우시 저희 집 마당으로 우수가 넘치는 것은 물론이고기타 주변 畓 농작물 피해가 어마어마 할 것이라는 것은불을 보듯 자명하다 할 것입니다.※ 현재는 퇴적물이 쌓여 있더라도 집중호우시 복개되지 않은 위 부분까지   우수를 담수하고 있어 배수로 역할을 대행하고 있음  존경하는 익산시장님조선시대 임금님의 최대 덕목은 치산치수(治山治水)로 이를 실천하기 위하여노력하여 왔다고 알고 있습니다.그리고최근 국가적으로 안전에 대한 관심이 그 어느때 보다 높으며국가(지방자치단체)는 모든 시설에 대하여용도에 따라 통상 갖추어야 할 안전성을 갖추어야 하고,일시적인 것이 아닌 지속적인 경우에는 일정한 책임도 있는 것으로 알고 있습니다.  따라서건축예정 토지 옆 배수로(행정재산) 점용허가 검토 시첫째①과거 집중호우 시 주변 주택 및 농작물 등의 피해   (저희 집 마당에도 약 60평의 텃밭에 매년 농작물을 경작하고 있습니다)②그리고, 지리적 특성 및 주변에 살고 있는 민원인의 의견 수렴③주민 안전성 및 공익적 측면 등 제반사정 등을 종합적으로 검토하여행정재산 사용허가(배수로 덮게)를 반려하여 주시고 둘째, 점용허가 없이 무단사용일 경우 상기 사유 등에 따라건축준공 전 반드시 원상복구(배수로 덮게 설치 제거) 조치하여 주실 것을건의 드립니다.(건축중인 토지는 이미 트랙터 등 진출입을 위해 복개 처리된 면적만 이용하여도차량진출입은 충분함)       2017. 1. 29. 민원인  송재훈",2017-01-26,2017-01-26,2017-02-01,도로공원과,처리완료,부안읍
534,누구를 위한 교육인가,1. 올해말까지 구축 예정이라던 BIS 는 언제쯤 완성되나요? 벌써 12월 입니다 2. 기존 버스노선을 조정하여 모현동에서 역전이나 터미널방면으로 접근하기 쉽게 개편한다고 하셨는데 도대체 언제 개편이 끝나나요?,2017-11-23,2017-11-23,2017-11-24,보건사업과,처리완료,부안읍
535,익산거주 4년차 감상(애견공원 조성 등을 제안하며)),안녕하세요 저는 만 18세인 정경주라고 합니다.다름이 아니라 저번부터 제가 교통카드를 찍는데 고등학생이냐면서 청소년 요금을 찍는 저를 의심을 하는데 법적으로 아직 저는 만 18세인 청소년인데 제가 성인요금을 내야한다고 오늘도 결국 추가요금을 냈습니다. 기사님께서 하시는 말씀이 생일 안지났어도 대학생이면 성인요금을 내야한다고 하셨는데 그럼 술집에 빠른 99년생인 아이들은 왜 못들어가나요? 걔네들도 성인요금내는 대학생인데. 제대로 기사님들께 교육하셨으면 좋겠습니다. 다른 지역 아저씨들은 제가 청소년요금을 내도 별말씀 안하시는데. 불만입니다. 제가 법을 어긴것도 아닌데 제가 마치 법을 어긴것마냥 가르치시는 기사님들 차마 어르신이라 더 따지지 않았는데 익산시청에서 제대로 알려드렸으면 좋겠습니다. 교통카드사에서도 인정하는 청소년이니깐 뭐라 하지말라고요. 특히 333번 아저씨들 매우요. 교육하기가 어려우시다면 여기에 정확히 제가 청소년 요금을 낼수있는 학생이란걸 적어주시면 감사하겠습니다. 항상 수고하시고 감사합니다.,2017-03-25,2017-03-25,2017-03-30,축산과,처리완료,줄포면
536,태양광 설치 결사반대(미꾸라지 양식장 설치),<장애인 전용주차구역 불법주차> 장애인주차구역에 주차하였네요 (1/1) A : 2018.08.16 17:49:17 A :  : I :  .[  : 1522-0660 ()],2018-08-27,,2018-09-06,푸른도시과,처리완료,부안읍
537,건물간판 야간조명개선,안녕하세요산책길에 불법 쓰레기가 버려져서 신고합니다동산동 생태공원으로 산책을 많이 하시는곳인데 보기 않좋네요조속히 처리좀 부탁드립니다,2018-03-05,2018-03-05,2018-03-07,녹색환경과,처리완료,부안읍
538,(SPP-1612-1300261)아름문구사 앞 보도가 파손되었습니다,전라북도 부안군 동진면 봉황리 1263-2심성교 다리위 현수막 철거후 끈이 많이 매달려있어 미관상 보기가 좋지 않으니 정리 바랍니다,2016-12-13,,2016-12-21,푸른도시과,처리완료,부안읍
539,[생활불편신고]장애인 전용주차구역 불법주차,<불법주정차> 횡단보도 불법주차[  : 현대자동차앞 ] (1/2) I : 2018.03.13 21:49:11 (2/2) I : 2018.03.13 21:49:29 A :  : I :  .[  : 1522-0660 ()],2018-05-10,,2018-05-14,주민행복지원실,처리완료,하서면
540,익산시 환경,"시외버스 터미널에 버스들이 정차하고 매일 수십대가 왕복하는데 익산터미널에서 정차하고 군산,전주,수원 등으로 가는 시외버스가 통과하는 길목입니다. 대한민국 어디에가도 타지 사람들이 제일 먼저 보게되는 시외버스터미널,고속버스터미널 옆에 고물상이 자리하고 있는건 본적이 없습니다. 친구들이 버스를 타고 익산에왔는데 무슨 익산은 고물상만 있는 도시인줄 알았다고해서 정말 부끄러웠습니다. 이것좀 해결해주세요",2017-05-26,2017-05-26,2017-06-02,시정에바란다,처리완료,부안읍
541,버스관련,제가 오늘 훈련입니다 그런데 애들이 아파서 병원좀 다녀 온다고 1시간 정도 늦었어요 그런데 한시간 늦었으니까 교육이 안된답니다 그냥 가시고 오후에 오라네요 근데 제가 오후에 출근을 해야 해서 안될꺼 같은데 다른 방법없을까요. 그럼 주말에 있으니까 주말에 오시라네요 뭐 내가 늦었으니 할말도 없고해서 그럼 주말에 받을테니 회사 제출용 필증만 이라도 도장좀 찍어 달라고 했더니. 그것도 안된다네요 전에 저 일찍가서 교육 받을땐 끝나기 전 에 들어와서 다들 도장 받아가던데 안받는다는것도 아니고 그냥 회사 제출용 필증에 도장만 찍어달라는건데 그것도 안된다니 시에서 보관하는것도 아니고 그냥 제출용에만 찍어 달라는데. 그것도 안된다니 진짜 너무 하네요 늦은네가 잘못이긴 하지만 안받겠다는것도 아니고 받을테니 제출용 에만 도장하나 찍어주는게 어려운건지 어차피 거기있는 서류에 싸인 안되면 다시받아야 하는건데 그게 그렇게 어려운건지 거기까지 그냥오려니 화나서 다른것도 아니고 애들이 아파서 병원 같다온건데 그런것도 인정안해주고 너무하네요,2016-05-27,2016-05-27,2016-05-31,교통행정과,처리완료,부안읍
542,익산역 주차장 요금 무료화,"안녕하세요저는 매일 출퇴근을 하기위해 익산역을 이용하는 직장인입니다. 익산역 이용고객을 위한 무료주차 사업에 환영합니다기존에 매월 정기주차 요금을 내고 주차장을 이용하고 있는데  이번 무료주차 사업에 저처럼 매일 출퇴근을 철도를이용하여 사용하는 사람들은 그 혜택을 실감하지 못한것같아 유감입니다.  주말에는(일요일, 공휴일) 차를 주차장에놓고 갈수밖에 없는데 주차요금을 저희는 내야하니 정작 매일 철도를 이용하는(한달25일정도)  철도 정기권 이용직장인을 위한 배려가 없어 유감입니다.  오늘아침 주차요금 발생하여 여쭤보니  한달 정기권철도 이용하는 자는해당없으니 기존대로 정기주차 요금을 계산하라고 하시더군요.  담당자분의 답변 기다립니다. ",2017-03-02,2017-03-02,2017-03-02,교통행정과,처리완료,변산면
543,도로관리좀 잘해주세요.,"계속 글이 튕기네요...국민신문고나 여기도 글이 안올라가네요..동영상을 올리려했으나,안올라가서 사진만 올립니다..목요일에 주행중에 파손을 입었으며,시청에 문의했으나, 귀차나하고,떠넘기려만 해서 글남겨요보험사에 접수를하면 구상권을 청구한다는말많서,보험사에 접수를 하였으나 먼저 자차로 수리후 난중에 구상권청구를 하는데 될지 안될지 모른다는군요..제가 손해보면서 그렇게 하기싫어 글을 남기니 답변 바랄께요",2017-07-29,2017-07-29,2017-08-07,직소민원팀,처리완료,변산면
544,(SPP-1804-2600375)대형약국앞 광고물 부착 * 첨부파일촬영시간 안내(안전,전라북도 부안군 부안읍 서외리 558-1가로등 안켜짐 고쳐주세여*  *(1/1) C: 2018/04/24 20:48:07G:  *,2018-04-26,,2018-04-27,부안읍,처리완료,부안읍
545,무주군 보조금 사후관리 철저히 하라,김제시 시립도서관 등 홈페이지 내 약자를 위한 시설현황을 알리자!,2016-04-27,2016-04-27,2016-05-03,자치행정과,처리완료,부안읍
546,진출입도로(치도리 393번지) 원상복귀,전라북도 부안군 변산면 격포리 282-37격포다리 가로등이 고장입니다*  *(1/1) C: 2018/04/05 14:05:35G:  *,2018-04-09,,2018-04-16,건설교통과,처리완료,부안읍
547,1BA-1711-213884 처리결과에 대한 답변! (건설행정팀장 정춘수),줄포면 농공단지길에 위치해 있는 회사에 재직중입니다.회사의 출퇴근을 위해 시내버스나 오토바이를 이용하고 있는데 매년 눈이 오면 군청에서 제설작업을 하지만 지역주민과 입주회사에서도 추가로 제설작업을 하고 있습니다.한두번의 작업으로는 제설작업이 완전히 되지 않기 때문에 출퇴근시 안전사고의 위험이 있습니다.몇차례의 미끄럼짐을 경험하였고 다른 사람들 역시 같은 상황이 되고 있습니다.제설용 염화칼슘을 비치해 주신다면 안전히 통행할 수 있을것 같습니다.,2017-12-16,,2017-12-26,건설교통과,처리완료,부안읍
548,답변 불성실 (익산대로신호체제),"안녕하세요? 저는 어양중학교에 다니는 한아이의 부모입니다. 지난 9-9일 오후 하굣길에 우리아이가 큐마트에서 영등중과 관리공단쪽으로 걸어가던중에 흰색자가용이 지나가면서 아이의 팔을 미러로 치는아주 경미한사고가 발생하였읍니다. 차주는 내려서 아이의팔을 한번보고 그냥 괜찮다는 식으로가버리고,,연락처를 달라며 본인의 핸드폰을 내밀었다고합니다. 아이는 아프고 놀래서 경황이없던 상황에 그분의 핸드폰에 번호만 찍어주었다합니다. 전화는 울리지도않았고 그날 ,,,,전화도 오지않았읍니다. 어찌된상황이든 미성년이고 학생입니다.최소한의 양심을 지켜야했읍니다. 전,,너무화가나서 신고를 하였고,,그길쪽에 당연히 있을거라고 생각했던 CCTV가 한대도 없더군요.. 학생들이 제일많이 다니고있는 스쿨죤지역에 한개의 CCTV가 없다는게 더황당했읍니다. 근처의 마트에서 겨우얻어낸 CCTV에는 우리아이의 모습과 상황들이 보이긴하나 너무오래된CCTV여서 화면이 좋지않아 번호인식을 할수가없었읍니다.아이들이 많이다니는곳에 왜????????????          CCTV가 한대도 설치가 되질않았는지 궁금합니다.  근처의 마트주인도 학생들의 이런경미한 사고가 자주있는편이라고,,,,,, 여기는 시에서 CCTV를 꼭!!!!!!!!!!      설치해야하는 지역이라고 말합니다.  자주와서 보여달라고 하신다면서 안타깝다고 하십니다.제가 이런일을 당하고나니.... 더욱더 우리아이들의 등,하교길이  걱정됩니다.제가 그길에 서있어보니  영등중과 관리공단쪽으로 들어오는 차량들도 많더군요..그리고 어양중정문에서 큐마트 사거리에서 관리공단쪽으로 이동하는 학생들의 수도 상당합니다..    이런점들을 고려해서 설치가 필요하다는게 느껴집니다.아이들을 위해서 꼭한번 설치해주시길 바랍니다해당 게시물이 '부조리 신문고'에서 이동 되었습니다.",2016-09-06,2016-09-06,2016-09-07,교통행정과,처리완료,부안읍
549,가로등 불이 들어오지 않습니다,전라북도 부안군 부안읍 서외리 90-9초등학교 근처 도로가 울퉁불퉁합니다 학생들의 안전을 위해 보수해주세요*  *(1/1) G: 2018/03/20 10:18:26G:  *,2018-03-20,,2018-03-29,부안읍,처리완료,부안읍
550,시민공원 개똥 그리고 환경지킴이분들,몹시 기분이 나쁘네요 개2년동안 키우면서 단 한번도 배변 안치운적 없었고Cctv 있으면 돌려보세요 진짜ㅡ지역카페 개 혐오글때문에 피해입을까봐남의 개똥도 치우면서 살았는데 참나..소형견이 자기 얼굴보다 큰똥을 사람똥만한걸 어떻게쌉니까 물론 그분들이 해야될 일이라는 건 알겠습니다만아니라는걸 말했음에도 저 아가씨 강아지가 그런거 같다는 둥 그냥 가버린다는 둥 무슨 내가 죄를 지은것마냥 사람뒷통수에 대고말하시던데 봉변도 이런 봉변이 없네요 배변 안치우는 사람들 또 목줄 안하는 사람들 신고 방법같은것도'안하면 과태료 10만원'이게 아니라 구체적 신고 방법도 좀 알려주시면 제가 지역카페에 글 올리겠습니다 그리고 환경지킴이 아주머니분들 그분들이 고생하는건 알겠지만 전후사정 듣지도 않고 뻔히 배변봉투 들고 있는 사람한테 말도 안되는 소리좀 안하게 해주세요 너무기분 나쁘네요 이번 한번이 아니라서 그럽니다.,2017-10-20,2017-10-20,2017-10-26,축산과,처리완료,동진면
551,군수에게 바란다. 메뉴 개선 건의,"p장수군수님께/p

p금강의 발원지인 뜬봉샘 관리에 감사드립니다./p

p어제 뜬봉샘 답사를 하였습니다./p

p올라가는 입구와 뜬봉샘 주변 관리가 잘 되어 있었습니다./p

p그리고 2017년 백두대간 숲길 조성 사업이 준비 돠고 있었습니다./p

p이제 시작하는 단계였습니다./p

p상기사업을 장수군청에서 발주하여 진행 중이므로/p

p다음과 같이 의견을 드립니다./p

p뜬봉샘은 봉황이 날났던 곳으로 봉황의 둥지처럼/p

p둥지형태의 모습이, 좀 신비스러움이 느껴지는 금강의 발원지입니다./p

p그런데 발원지 간판이 세워졌던 곳으로 숲길이 조성되고 있습니다./p

p봉황의 둥지가 훼손되는 느낌이 들었습니다./p

p답사를 같이 하는 회원들의 대부분 의견이었습니다./p

p숲길을 아랫쪽(현제 위치에서 15-20여m)으로 옮겨 주셨으면 합니다./p

p숲길 바로 옆에 금강의 발원지 뜬봉샘이 있기보다/p

p숲길에서 조금 들어가서 뜬봉샘이 위치하도록 수정하여 주셨으면 합니다./p

p그러면 금강발원지, 봉황이 날났던 뜬봉샘이 독립공간이 되어/p

p신비스러움을 간직 할 수 있을 것입니다./p

p그리고 간판은 종전 위치에 그대로 세워 주셨으면 합니다./p

p/p

p저희는 (사)하천사랑운동 회원으로/p

p2000년 전 후 금강발원지 뜬봉샘을 장수군청과 협의하여 가꾸면서/p

p현재의 뜬봉샘 돌비석과 초기 간판내용을 장수군 문화원과 협의하여 세웠고/p

p발원지 명칭을 뜸봉에서 뜬봉으로 명명하기로 장수군청, 문화원과 협의했었습니다./p

p그 상황을 관계기관에 통보하여 관련자료의 발원지 명칭을 수정하였었습니다./p

p/p

p저희들의 의견을 반영하여 주셔서 숲길 위치를 조금 옮겨주시기를 간곡히 건의 드립니다./p

p/p

p(사)하천사랑운동 회원 일동/p",2017-08-08,,2017-08-11,대외협력,처리완료,부안읍
552,태양열 발전소 관련 민원,전라북도 부안군 부안읍 봉덕리 847도로파손 고쳐주세요*  *(1/2) C: 2018/02/09 17:55:48(2/2) C: 2018/02/09 17:56:01G:  *,2018-05-17,,2018-05-25,미래창조경제과,처리완료,하서면
553,유기견 보호시설 안내해 주세요,"군산시에서 열리는 시간여행축제 기간동안(2018.9.14~16)까지 시장님과 시청 공무원분들 모든 관계자분들 수고 많으셨습니다.   행사를 치르다 보면 실수도 있고 모순점도 있기 마련입니다.다음에는 반드시 시정되어야 하는 문제점을 나열해 드립니다. 1. 시간여행축제 조직위의 역할을 분명히 해야 할것 같습니다.(다음에는 전부 군산시에 거주하는 분들로     구성하기를 희망합니다. 군산시에 거주하는 분들이 아무래도 지역사정과 역사를 잘알고 있기 때문 입니다.)  2. 군산시 예산을 가지고 집행하는 군산시간여행축제는 군산업체에서 반드시 주관할수 있도록 하고 군산시    업체와 단체들을 전부 섭외하여 참여시키도록 해 주세요...(수준이 떨어진다고...영세하다고...자본이 없다   고...경험이 없다고 등등 담당 공무원들은 핑계대지 마시길 바랍니다.)3. 시간여행축제는 장사가 아닌 과거의 시대를 돌아보는데 의미가 있습니다. 그러나 1930년대 일제시대를 거쳐    1945년 해방시대, 1950년대 6.25 사변, 1970년대 새마을운동, 1980년대 산업화, 1987년대 민주화로 이어지는    과거로의 시간여행을 일제시대를 위주로 노점상들이 판치는 혼잡한 무대로 꾸며 혼랍스러웠습니다.      4. 관광객과 시민들이 넓은 장소를 이용하여 편히 시간역사의 흐름을 아이들과 이해할수 있도록 했어야 함에도   근대역사 박물관 주변으로만 좁고 복잡하게 꾸며져 넓은 지역을 소화해 내질 못햇습니다. 5. 이러한 모든 축제행정은 시민의 의견을 수용하지 못하고 독단적으로 일을 추진하는 담당 공무원들의 자세에서     부터 비롯된다고 봅니다.  결국 시 축제예산의 절반 이상은 전주지역으로 흘러 들어갔고 군산시 및 주변 상인들의     소득은 축제전후로 전무하며 축제로 인하여 지역경제 활성화라는 본래 취지는 퇴색되었고 무엇을 얻었는지 의문시     됩니다.6. 9.9일자 게시판 답변이 행사가 끝난 9.17일 도착하여 다음과 같이 첨부 합니다.        """"시간여행축제 기간에 진포해양테마공원까지 확대하여 시민들이 체험할 수 있는 롤러장과 자전거 버스를 운영       하여 시민들에게 큰 호응을 받았습니다. 귀하께서 말씀하신 시대별 안보관련 전시 및 체험은 저희 축제보다는       군부대 행사 및 전투관련 행사에 취지가 더 맞는것 같습니다.  앞으로 다양한 축제 프로그램이 반영 될 수 있도록       노력하겠습니다.  진포대첩  재현행사 콘셉트에 맞는것 같습니다.""""  라고 딥변한 바, 진포행공원내 군시설장비 활      용 관련 왜 6.25 사변 안보 컨셉이 시간여행과 안어울리는지 이해가 가질 않으며 진포대첩은 문화예술과 소관이       라서  관광진흥과에서 타부서로 떠 넘기는 구조 입니다.  이미 끝났지만 말입니다.   7. 앞으로 시장님께서 힘드시더라도 수고해 주시기 바랍니다.     (군산시청, 시의회 상당한 문제가 있습니다.)     ",2018-09-29,2018-09-29,,,처리중,부안읍
554,부안수협 주차장 불법건축물 소음진동 민원,민원인이 해당글을 삭제하였습니다해당 게시물이 '부조리 신문고'에서 이동 되었습니다.,2018-08-02,,2018-08-07,친환경축산과,처리완료,왕궁면
555,다독다독 작은도서관을 유지해주세요.,안녕하세요. 청웅에 사는 이주해입니다.청웅으로 귀농해서 신랑은 농사를 짓고 저는 마을 사무장 일을 하고 있습니다.우리는 더운 여름과 추운 겨울에 도서관을 주로 활용을 하는데 임실의 공공도서관을 사용하다가 군청내 다독다독 작은도서관을 알고부터는 이곳을 자주 이용하고 있습니다.그런데 오늘 다독다독 도서관이 없어질지도 모른다는 얘기를 듣고 황당했습니다.공공도서관 신축 사업도 취소되고 군에서 신축하는 도서관은 2020년 완공 예정이라는데.... 그렇다면 2년정도의 기간동안 어디를 이용해야하는지....제발 군청내 작은도서관을 없애지 말고 그대로 유지해주세요....,2018-08-03,,,군수실,처리완료,변산면
556,전자랜드21(하나로사거리) 근처 현대 익산 대림주유소 앞 불법 입간판 신고,어양동 무왕로 전자랜드21(하나로사거리)  근처 현대 익산 대림주유소 앞  인도화단에 도시미관을 해치며불법으로 설치된 불법 입간판을 신고합니다.,2016-06-15,2016-06-15,2016-06-23,도로관리과,처리완료,변산면
557,청사 및 의회건물 내 계단피난 이송기구 비치,정화시설이 없는 바닥분수 고지,2016-04-19,,2016-05-09,회계과,처리완료,부안읍
558,소아과주변 이동식 주차 단속 건의합니다.,"평동로23길38-11 현재빈집 아무도살지못함집안팎에 쓰레기가 그득,골목길까지 흘러넘침악취도문제지만 벌레도많음집주인 찾아 처리해주세요",2016-08-11,2016-08-11,2016-08-23,교통행정과,처리완료,부안읍
559,배산지구주변 정리좀 부탁드립니다,더운여름 수고하십니다~익산시민공원에서 5살 3살을 데리고 놀아보고함열물놀이장에 사람이 없길래 일부러 찾아갔거니 입장제한을 하더군요.아이들의 안전때문에 제한을 둔다기에는 시가 책임을 회피하기 위한 거라고 생각됩니다.수도권에서 몇년을 살면서 아이들 데리고 여러군데 무료물놀이장을 다녀도 전혀 그런제한이 없었습니다. 그리고 놀이터나 강한 물뿌리는 분수시설이 있어도 제한 없었습니다. 연령대가 높은 아이들도 같이 노니까 위험할 수 있었지만 부모가 지키거나 제한을 해야하겠죠.더군다나 함열은 튜브물놀이장에 아이들 5~6명 놀고 있는데 안전요원이 셋입니다. 안전이 정말 문제라면 1:1로 놀아주면 될 문제겠네요. 세명이나 있으면서 책임자까지 두차례에 걸쳐 나타나 권위적인 태도로 제한을 두는게 할일인가 싶습니다. 제한이 있더라도 경우에 따라 탄력적으로 운영했으면 좋을텐데요.예을 들어 남양주시는 평소에는 놀이터 하절기에는 물놀이장으로 운영되어 시설이 탄력적으로 운영되고 있고 놀이시설이 다양해서 훨씬 재미있습니다. 규모도 더 크고 물살도 세지만 안전요원 한명으로 문제없이 운영되는 것으로 보였습니다.먼저 물놀이장을 운영한 다른 시들의 사례들을 참고하시면 좋겠습니다.,2017-06-14,2017-06-14,2017-06-21,축산과,처리완료,위도면
560,쓰레기 불법투기 단속 좀 부탁드립니다,이더위에 이새벽에 악취로 숨쉬기 괴롭고 토할것 같아서이더위에 문을 닫고 있습니다영등동 어양동 주위에 아파트와 건물 뿐인데 어떻게 축사 냄새가 나는지 의문이네요 이시간에 냄새난다고 여기저기서 말이 나오네요여름이라 문열고 사는데 어찌 생활 하라는건지..냄내나는게 한두번도 아니고 자주 생겨나고 있는데원인 조사는 하고 있는지 대책은 있는지 궁금하네요,2017-07-11,2017-07-11,2017-08-02,교통행정과,처리완료,부안읍
561,[생활불편신고]장애인 전용주차구역 불법주차,<불법 주정차 신고> 부안예술회관 장애인주차장 불법주차함 (1/1) G : 2017.05.16 10:28:18 A :  :,2017-06-02,,2017-06-05,주민행복지원실,처리완료,변산면
562,[안전신고] (SPP-1609-1191712)부안 마실길 5코스 방어벽 콘크리트 구조물이 들려있거나,전라북도 고창군 해리면 동호리 151부안 마실길 5코스 방어벽 콘크리트 구조물이 들려있거나 펜스 훼손으로 위험,2016-09-22,,2016-09-29,,처리완료,동진면
563,39번 시내버스 운전상태,아침마다 버스로 출퇴근하는 사람입니다.요즈음같은 날씨엔 안전운전이 필수인데요특히 시민의 안전을 책임지는 버스야말로 더더욱 신경을 써야한다고 생각합니다.그런데 오늘 아침 39번 버스(번호판 1264)는운행상태가 아주 위협적이더군요눈이와서 도로상태가 안좋은 상태인데도 운전이 좀 거칠길래영 기분이 좋진않은 상태로 목적지에 가기위해 탑승해있는 상태였는데운행도중 어떤차와 작은 시비가 있었습니다.그 운전자의 실수로 사고위험이 있었으나 다행이 사고는 나지 않은상태였습니다.그런데 버스운전자가 그차를 막 뒤따라 가면서 경적을 계속 울려대고신호대기로 정차했을때는 그차 옆에 대고 막 언성을 높여대더군요뒤에 승객들도 타고있는데....허나 그 후가 더 가관이었습니다.버스운전자는 화가 안풀렸는지 계속 거친 운전솜씨를 폼내더군요정류장 정차할때마다 급정거에 급출발에...운행중엔 혼자 성질내고...목적지에 다와서 저는 내렸습니다만정류장을 떠나는 버스를 다시한번보면서 참 많은 생각이 들더군요.버스는 개인차량이 아닙니다.버스기사 한분의 실수로 죄없는 많은 승객들이 다칠수있다는것을좀 유념하고 운행하셨으면 하는 바램입니다.,2018-01-10,2018-01-10,2018-01-12,교통행정과,처리완료,백산면
564,시간여행축제 시민평가(최종),안녕하세요 저는 군산에서 멀리까지학교를다니는고등학생입니다.제가 집안사정상 이사를가지는못하고 전학도 껄끄러운상황이라 매일아침5시에 인나서 등교를합니다.물론 시간은 저희 선택이라서 큰 불만은 없지만 시외버스비 부담이 하루에 2만원이상이들고 버스도 2번을 갈아타야해서 브담이 이만저만이 아닙니다. 현재 기차에서는 정기권제도를실시하고있다는데 혹시 버스에서도 정기권을 실행하실수있나해서 문의드립니다.,2018-09-17,2018-09-17,2018-09-21,관광진흥과,처리완료,부안읍
