"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
403,"익산역 역무실 옆 삼성TV","딸이 대야에서 원대까지 20번을 타고 학교를 2년째 다니고 있는데 이번주 들어 두번이나 버스가 오지 않아 익산 까지 데리러가고 터미널까지 와서 직행버스를 이용하기도 했습니다시간이 바뀌었나해서 시청 홈페이지  확인했지만 변동은 없고요10분전에 기다리는데도 안와서 확인 부탁 드립니다해당 게시물이 '부조리 신문고'에서 이동 되었습니다.","2016-03-15","2016-03-15","2016-03-18","감사담당관","처리완료","부안읍"
404,"(SPP-1611-2400244)길고 짧은 나뭇가지가 전깃줄에 이리저리 엉켜있어 위험해","전라북도 부안군 보안면 부곡리 127-1맨홀 스틸뚜껑이 파손되서 자동차 주행시 바퀴가 빠질 우려가 있습니다","2016-11-24",,"2016-12-06","보안면","처리완료","부안읍"
405,"외국인과 직원들의 불만사항 해결 대책건","모현동 주민센터 신축부지 주창장에 대해 민원글 올립니다취지는 좋았으나 공사 마무리가 잘 안된것같군요몇일전 대형화물차가 밤샘주차하려다 빠져서 한바탕 난리가 났네요밤샘주차하는 화물차가 진입한것도 문제지만 막지 못한 행정도 문제라고 봅니다만들려면 비올때 배수문제도 해결하고 공사를 마무리 했어야만 될것으로 보입니다근처 무단 경작지에서 흘러나온 물이 이곳에 집결되어 비가 오면 거대한 물 웅덩이가 생겨납니다이런 곳이  아무리 임시주차장이지만 승용차도 빠지는 현상이생겨 불안해서 주차를 못할정도입니다다시한번 현장 살펴보시고 마무리 잘 해주셨으면 합니다","2016-04-06","2016-04-06","2016-04-06","투자유치과","처리완료","부안읍"
406,"안보이는 벽으로둘러쌓인 임실군청","아이들을 데리고 임실로 귀촌을 준비하고 있는 두 아이의 엄마입니다.천담리지역에 집을 지어서 들어오려고 하는데 계획한 땅 바로 앞에 슬레이트 지붕으로 된 건물이 있습니다. 집 지붕이 아니라 폐창고 같은 것이어서 이웃에게 철거를 권하고 싶어도 철거비용이 드는 것이라 그럴 수가 없습니다.  아이들이 아토피가 있고 호흡기가 약해서 좋은 환경을 만들어주기 위해 오는 이유가 큰 데 발암물질을 마주보고 그 쪽에서 날아오는 바람을 맞으며 살게 생겼습니다. 집을 알아보며 둘러본 다른 곳에서도 버려진 집에 슬레이트 지붕을 볼 수 있었습니다. 이것을 개인이 철거할 몫으로 남길 것이 아니라 국가나 지역에서 적극적으로 철거에 나서는 것이 지역민의 안전과 건강을 위한 길이라 봅니다.인터넷 검색으로는 각 지역마다 다르다는 답변뿐입니다. 현재 임실군에서는 석면 슬레이트 철거를 어떻게 하고 있는지 궁금합니다. 또한 귀촌자를 위한 정책이 무엇이 있는지 안내바랍니다.","2016-07-02",,,"군수실","처리완료","부안읍"
407,"(SPP-1703-3000609)부안읍 주산식당 도로건너 맞은편 슈퍼앞에 전봇대에 붙어","전라북도 부안군 진서면 진서리 114-3찢어진 불법 광고 게시물 제거해주세요","2017-03-30",,"2017-04-04","부안읍","처리완료","부안읍"
408,"부송동 악취 원인 파악 및 대책 요구","부송삼성아파트 정류장에 102-2번 버스가 오는 노선안내도의 시간이랑 실제로 102-2버스가 오는 시간이 너무 달라서 불편합니다 한시간넘게 기다려도 안옵니다 문화체육센터에 가는건 102-2 뿐인데 불편해서 센터를 다닐수가없어요요 버스를 늘려주시던지 시간안내도를 바꿔주시던지 조치좀 취해주세요. 한여름에 한시간넘게 버스를 기다리니 화가납니다.","2016-06-28","2016-06-28","2016-06-29","녹색환경과","처리완료","부안읍"
409,"농촌거주 미혼남성 농업인 혼인지원사업 개선 건의","p산서면 사계리에 있었던 월곡서원과/p

p월곡서원이 훼철된 후/p

p월곡서원에 봉향되었던 양성지의 위패를/p

p별묘를 세워 봉향하였던 역사를 복원하기 위해 노력하고 있는 사람입니다./p

p/p

p그래서/p

p양성지의 별묘가/p

p2016년 장수군에서 유형문화유산으로 지정한 사실과/p

p최근에 완벽하게 복원하고 현판까지 새긴 진행과정도 알고 있습니다./p

p/p

p제가 인터넷으로 장수군청을 방문하여/p

p열심히 찾아보았지만/p

p양성지 별묘의 문화유산 지정번호를 찾지 못했습니다./p

p/p

p그래서 문화유산 지정번호와/p

p복원한 현황을 사진으로 확인할 수 있도록 요청 드립니다./p

p/p

p첫 번째 이유는 제가 알고 싶은 분야이라서/p

p알고 싶은 욕구 때문이며/p

p두 번째 이유는 장수군청에서 행한 업적을 널리/p

p알려서 홍보하고 싶어서입니다./p

p/p

p제가 월곡서원과 양성지 별묘에 대해서 알고 싶어 하는 부분은/p

p아래와 같이 정리하였고/p

pa href=""""""""http://blog.daum.net/cjstks1000/93""""""""http://blog.daum.net/cjstks1000/93/a/p

pa href=""""""""http://blog.daum.net/cjstks1000/82""""""""http://blog.daum.net/cjstks1000/82/a/p

pa href=""""""""http://blog.daum.net/cjstks1000/52""""""""http://blog.daum.net/cjstks1000/52/a/p

p장수군청에서 양성지 별묘에 대해서 복원한 과정을/p

p널리 홍보하고 싶어서 자료를 요청드립니다./p

p감사합니다./p

pimg alt="""""""""""""""" src=""""""""01"""""""" //p","2017-08-25",,"2017-08-30","대외협력","처리완료","부안읍"
410,"금연장소에서 흡연자 조치!!","영등동 838-2번지 뒷편에 공용화장실이 있습니다.거기는 상가사람들 혹은 손님들도 사용합니다. 신포우리만두 조리실에서 일하는 곱슬머리 아주머니 계시는데 그 흡연금지인 여자칸 화장실에서 담배를 핍니다.참는것도 한계가 있습니다. 갈때마다 마주치고 담배냄새가 몸에 베어 힘듭니다.신포우리만두 사장님께 말씀드려 담배를 피지 말라고 아무리 말을 해도 그 아주머니는 말을 안듣고 담배를 핀다는겁니다. 신포사장님이 벌금을 내도 그 아주머니 계속 담배를 필겁니다.그 아주머니께 직접 벌금을 물어주세요, 그래야 담배를 화장실 안에서 담배를 안필껍니다.빨리 조치 취해주세요. 진짜 그 아주머니때문에 화장실도 맘대로 못가고 ,그 아주머니가 담배를 피고 나오고 환기를 여러번 시킨후에 화장실을 이용하는것도 힘듭니다.그 아주머니께 직접 벌금 물게 해주세요!!!","2016-05-09","2016-05-09","2016-05-10","보건사업과","처리완료","계화면"
411,"구모현동주민센터부지화물차밤셈주차단속","p건의서/p

p/p

p건의 하는 곳 : 군청 민원실. 군 의회 민원실 등/p

p건의 군내 주요 장소에 자전거 보관대 설치/p

p설치 장소 : 군청, 면사무소, 터미널, 파출소, 농협 등 다중 이용시설/p

p건의 하는 사람 : 전희식(장계면 주민. 작가. 코칭 전문가)/p

p/p

p건의 요지/p

p1. 장수군내 주요 장소인 군청, 면사무소, 터미널, 파출소, 농협, 각 복지관, 목욕탕, 기타 다중 이용시설에 자전거 보관대를 설치해 주세요.(각급 기관과 협력해서)/p

p2. 자전거 이용에 대한 편의와 지원책을 마련 해 주세요./p

p3. 자동차 이용 억제를 유도 해 주세요./p

p4. 이를 조례와 행정업무로 규범화 해 주세요./p

p/p

p우리의 환경 현실/p

p장수군은 시골이지만 자동차는 넘칩니다. 장날이나 행사가 있는 때는 물론이고 평일에도 위 기관 앞에는 차 대기가 힘듭니다. 따라서 보행자의 보행도 어려울 때가 많습니다./p

p/p

p우리나라의 미세먼지와 이로 인한 질환은 날로 심각해집니다. 개인적인 이유나 공공의 이유로 자전거를 이용하는 사람들이 겪는 불편이 큽니다./p

p/p

p미세먼지와 건강생활의 일환으로 자전거 이용하기/p

p1. 가까운 거리를 자전거로 이동하려해도 자전거 세울 데가 없습니다. 전봇대, 가로등, 건물의 물통, 가로수 등에 묶어 두는 실정입니다./p

p2. 농협에서 면사무소, 면사무소에서 복지관, 복지관에서 장터, 장터에서 아는 식당. 이렇게 읍내 나오면 이동을 하게 되는데 이곳저곳 다 자동차를 끌고 다닙니다. 짐이 없거나 기후가 나쁘지 않을 때는 자동차를 한 곳에 두고 자전거로 다닌다면 좋을 것입니다./p

p3. 미세먼지는 시골과 도시 구분 없이 심각하며 감소운동은 우리 모두의 과제입니다./p

p4. 걸어 다니거나 자전거 이용은 건강에도 좋습니다./p

p5. 터미널이나 면사무소, 농협의 널찍한 주차장에 자전거 거치대가 단 한 곳도 없습니다./p

p/p

p자전거 거치대 설치와 자전거 이용 캠페인/p

p1. 장수군내 주요 장소인 군청, 면사무소, 터미널, 파출소, 농협, 각 복지관, 목욕탕, 기타 다중 이용시설에 자전거 보관대를 설치해 주세요./p

p2. 비용이나 공간을 많이 차지하지 않습니다./p

p3. 자전거 이용자, 자전거 동호회를 통해 자전거 이용 촉진 활동을 했던 적이 있을 겁니다. 단기적인 성과는 쉽지 않을 것입니다. 지속적인 홍보와 군민 캠페인 운동이 되어야 할 것입니다./p

p4. 조례나 행정지침으로 제도적 뒷받침이 되면 더 좋겠지요./p

p/p

p이상, 건의자 전희식(a href=""""""""mailto:nongju@naver.com""""""""nongju@naver.com/a / 010-4508-4148)/p

p/p

p/p

p첨부/p

p언론에 실린 건의자의 칼럼./p

pa href=""""""""https://c11.kr/1ivy""""""""https://c11.kr/1ivy/a/p

p/p

p[아침을 열며]나도 가해자다/p

p하루 10㎞ 운행 미세먼지 월 46㎏ 배출/p

p자동차비닐빈병 활용 환경 생각해야/p

p/p

p이 글의 제목만 봐서는 미투 운동(성폭력 나도 당했다운동) 이야기인 줄 알겠지만 다른 이야기다. 아주 평범한 직장인을 예로 들어보자. 그는 환경문제와 식생활뿐 아니라 건강이나 교육문제에 대해서도 알 만큼 안다. 당연히 자동차도 함부로 끌고 다니지 않고 장거리는 꼭 대중교통을 이용한다. 한국 사람의 평균 수준은 이 정도는 된다. 평범한 직장인인 그는 하루 평균 10킬로미터 정도 자동차를 몬다. 한 달이면 300킬로. 아주 준수하다. 그런데 말이다. 그 정도 자가운전만으로도 초미세먼지를 한 달에 46킬로그램이나 배출한다면 다들 놀랄 것이다. 이를 정화하자면 소나무 90만 그루가 필요하다. 어느 매체에 실린 사례다./p

p/p

p택배를 받아보면 비닐 완충제가 가득이다. 재활용이 되는 물건 묶던 끈이 사라지고 모두 비닐테이프를 쓴다. 택배로 온 책 한 권 풀어보면 책 부피보다 많은 비닐이 처치 곤란이다. 풀로 붙여도 될 것을 꼭 비닐테이프로 봉투를 붙인다. 가게에서는 장바구니 대신 비닐봉지를 거저 주고 우리는 별생각 없이 받는다. 지금 비닐 쓰레기 대란이 일어난 배경이다. 매일 마스크를 챙기고 일기예보 중 미세먼지 예보를 살피면서 정부 정책에 투덜대는 우리가 되새겨 봐야 할 현실이다. 중국 베이징보다 서울의 미세먼지 농도가 더 높다는 사실을 통해 미세먼지나 대기오염의 국내 요인 비중이 높다는 것에 중국 탓도 머쓱해진다./p

p/p

p집 안의 과도한 조명, 지나친 난방보일러, 함부로 쓰는 전기제품, 흥청망청 쓰는 온수 등은 핵 방사능이나 미세먼지를 대기 중에 흩뿌리는 행위가 된다. 아니, 산업에너지가 문제고 기업 활동에서 발생하는 것이 더 심각한데 이를 외면하고 생활에너지 탓을 하면 되느냐고 하는 사람이 있겠지만 그렇게만 생각해서는 안 될 지경에 이르렀다고 본다./p

p/p

p일상생활 속에서 환경 감수성을 섬세하게 키워내지 않으면 산업 환경, 기업 활동에 대한 문제의식을 갖기 어렵고 사회적 실천으로 연결하지 못할 것이다. 언론을 통해 농사용 비닐이나 비닐봉지, 그리고 소주, 맥주병에 환경 보증금을 지금보다 수십 배 더 붙여서 수거를 의무화하도록 제안했던 적도 있다. 맥주병과 소주병은 보증금이 코딱지만큼 인상되었을 뿐 다른 쪽은 아무 반응이 없다. 나는 작년 초에 농협과 군의원에게 제안서를 동시에 드렸다. 적어도 시골 터미널이나 농협, 면사무소나 복지관 앞에 자전거 보관대(주차장)를 만들자고 말이다./p

p/p

p자전거를 타고 다니는 나는 농협이나 면사무소를 갈 때는 물론이고 버스터미널을 통해 시외로 갈 때마다 자전거를 안전하게 세워두려고 건물 벽에 있는 빗물 통, 가로등 기둥이나 전신주에 자전거를 동여매고 자물쇠를 채운다. 그래서 그런 제안서를 냈던 것이다. 아직도 답변이 없다./p

p/p

p시골에도 이들 기관 앞에는 자동차들로 만원이 된 지 오래되었다. 가까운 거리를 자전거로 다니려 해도 자전거 세울 곳이 없다 보니 자동차 운행은 늘어만 간다. 도시가 문제지 시골이 미세먼지 발생에 책임이 있냐고 할지 모른다. 그런 식으로 생각하다 보니 오늘날 비닐 쓰레기 대란, 미세먼지 경보, 기상이변 경고를 겪는 것이 아니겠는가. 공기는 시골이건 도시건 경계가 없다. 네 탓 내 탓 공방할 만큼 한가한 때가 아니다./p

p/p

p지난달에 환경부 장관과 시민종교단체 대표로 면담할 기회가 있었다. 그때도 건의했었다. 욕먹을 각오를 하고 환경 보증금을 대폭 인상하자고. 검은 비닐봉지 환경 보증금을 1000원으로 인상한다고 가정해 보자. 소주병과 맥주병의 빈병 보증금이 2000원 한다고 해 보자. 장바구니를 다 들고 다닐 것이고 길거리와 주택가, 농장에 날아다니는 비닐들은 자취를 감출 것이다. 아무리 술에 취해도 빈 병은 챙길 것이다./p

p/p

p당국은 정책으로, 개인은 개인적으로 환경 가해 행위를 멈추어야 할 때다./p

p/p

p/p","2018-07-24","2018-07-24","2018-07-26","교통행정과","처리완료","학곤로"
412,"보행로에 차량 진입금지 3면 표지판 설치","블랙박스에도 찍혀 있지만 북부시장에서 3차선에서 버스정차하다가1차선으로 오는데 뒤에 차가 오면 기다려야지.바로 바짝 뒤에 있는데 아주 차만 크다고 그냥 들이대는데....참나......... 그렇ㄱㅔ 운전하지마세요전북 72 자 1528","2016-02-24",,,"기획예산과","처리완료","학봉2길"
413,"나운3주민센터 민원처리의 미숙함","군산 오식도동 623-16 편의점(미니스톱)앞 인도를 점령한 테이블영업을 하고 있습니다.  이에 시민들의 보행에 불편을 주고 있으며, 야간에는 취객,소음공해, 담배냄새가 심각한 수준으로 밤에 잠을 제대로 못잡니다. 왕 짜증 ","2018-06-29","2018-06-29","2018-07-05","직소민원팀","처리완료","행안면"
414,"쓰레기 배출 시간·장소 지정을 통한 지역 환경개선 제고 방안","쓰레기 배출 시간·장소 지정을 통한 지역 환경개선 제고 방안","2017-02-05",,"2017-02-09","환경과","처리완료","계화면"
415,"35번 버스 기사님","집앞 도로는 이차선 도로 입니다. 사진과 같이 이차서 한 가운데에 불법주차를 해서 다른 차들이 빵빵대고 갔습니다. 차 안에는 사람 없었구요. 그걸 지켜본지도 얼마안되어 차주가 운동센터 건물에서 패트병 세병을 안고 나왔고 그걸 차에 넣어놓고 다시 반대쪽 건물 마트로 들어가는걸 목격 했습니다. 이건 고의로 불법주차를 한 뻔뻔한 시민이라고 생각하여 화가 났고 신고를 하게 되었습니다. 오늘은 특히나 눈도 많이 내려서 대설주의보까지 내린 위험한 날입니다. 차 번호 20다1840 입니다.","2016-01-19","2016-01-19","2016-01-26","교통행정과","처리완료","계화면"
416,"빠른 민원처리에 감사인사 드립니다.","p노고가 많으십니다./p

p/p

p군수에게 바란다 게시글 보면 대부분이 민원글입니다./p

p군수에게 바란다에는 좋은 제안이나 민원을 제기해도 해결이 되지 않는 고충이 올라와야 된다고 생각하는데요./p

p이 경우에는 물론 답변도 해당 실무자가 아닌 군수가 직접 답변하는 형식이 되면 좋겠지요./p

p/p

p현재 일사천리반 유선을 활용하여 업무하고 있던데..홈페이지에 군수에게 바란다 바로 아래에 일사천리반 메뉴를 신규로 만들어서 민원글은 해당게시판에서 해결하는 것이 바람직하다는 생각이 듭니다./p","2017-01-04",,"2017-01-05","대외협력","처리완료","부안읍"
417,"[안전신고] (SPP-1604-1118143)도로가 잘보이지않습니다.","1.신평면 율무작목반 사업 선정 및 운영자금 관하여 사업자금 규모 선정 절차 및 기준에 대한 답변 중 15~16년 계속사업으로 추진 17년 종결된 사업이라고 하였는데,  2017. 1. 31.자에로 답변하였는데  17년도 1월 몇일에 사업이 종결되었다는 것인지, 17년도 12월 까지 종결되는 사업인지2. 지원후 자금관리에 대하여   작목반 자체운영하고 있어 행정기관의 관리 대상이 아니라고 하였는데  보조금으로 지급된 부분에 대하여는 어떻게 관리감독을 하고 있는지에 대한 질문인데 , 일부러 회피하는 답변으로 보이므로, 세금으로 보조된 보조금지급에 대한 관리 감독에 대하여 그 기간및 감독 방법등을 구체적으로 답변하여 하시길3. 보조사업에 지원된 시설물및 농기계관리에 대한 질문에 보조금법 제35조에 의거 해당 재산의 내용연수를 고려 사후관리 기간을 정하여 관리하고 있다고 하였는데보조금법은 구체적으로 국가보조금법인지, 지방자치단체 보조금법인지를 아니면 어느 보조금법인지 정확히 답변 하시길4. 이장의 역활및 업무내용은 잘 받아 보았는데 그 답변에 비추어 신평면 덕암리 이장 박 00 갑자기 이름이 생각 나지 않음 (생각만 해도 스트레스 받는 현상임)은 법에 의하는바에 비추어 민의 의견은 객관적으로 공정하게 절차를 밟아서 수렴하지도 않고이장 개인 입장에서 자주적 자율적 업무처리는 아주 잘하고 있음 그래서 주민들을 반목을 조장하고 지역주민의 편익증진과 봉사는 외면하고 이장업무만을 편하게 하기위해서 무선 방송시설을 설치하는것을 우선으로 하였음박이장은 임무수행중 알게된 비밀을 누설하여서도 안된다고 했는데, 사실을 제대로 알려고도 하지 않고 주민들을 선동하여 유언비어를 퍼트렸음이장이 지방단체장및  각 단체의 선거의 표를 의식한 각 장들의 식사대접등에 익숙해져서 면장, 군수, 의원등의 위에 군림하는 양상으로 발전하고 있는 부작용을 나타내고 있음 5","2016-04-25",,"2016-05-03","건설교통과","처리완료","주산면"
418,"불법주정차 이동식카메라","동산동 휴먼시아 정문에 버스정류장이 종점인가봐요익산은 안그래도 악취때문에 창문 열기도 무서운데 정문바로앞이 종점이어서 버스들이 수시로 공회전을 돌리는통에 환기도 할 수가없습니다.그리고 양2차선으로 좁은길에서 차를돌리지못해 버스가 정문으로 차를돌려 나가는데 항상 차들이 진행하는데 어려움이있고 정문앞 아이들이며 주민들의 안전이 위협받습ㄴ다 .정류장은 괜찮지만 아파트 앞을 이렇게 종점으로두면 안되는거 아닙니까알아보시고 조치해주세요.","2018-04-09","2018-04-09","2018-04-11","교통행정과","처리완료","부안읍"
419,"(SPP-1703-2300555)전봇대 잠금장치가 안되어있어 위험함","2016년9월1일 21시20분경 전북 부안 대명리조트앞 장애인 주차구역에 장애인 식별표식을 부착하지 않은 38저0165, 26다9082, 23구7739, 73무7010 차량들이 불법으로 주차되어있는것을 확인하여 이에 신고합니다.","2017-03-23",,"2017-04-06","부안읍","처리완료","하서면"
420,"(SPP-1803-1500007)가로등 점멸 * 첨부파일촬영시간 안내(안전신문고 운영","오늘은 2017.12.30. 한해가 저물어간다.그러나 2017.12.1. 부안군청 친환경축산과 /자원순환팀장이 방문한지 30일째 되빈다.방문할때 박 행 X받았습니다.부안군 하서면 장신리 700번지 소유자 정택일 입니다.서울거주 할때 장신리 700-1번지와 장신리 700-2번지 분할 하였습니다.군청 소통과에 누가 왜 분할했는지 물어보니 남자직원이 두꺼운 서류철을 들고나오면서 """"""""여기 도장찍고 확인도장 찍었는데요.""""""""그래서 서류철를 보자고 하니 보여주지않고 (조충환 직원 두꺼운서류철 들고서)권정보고개청구 요구 하였습니다정보고개 청구후 회신문을 받고보니 정보고개 청구내용과 관계없는 것이였습니다그래서 토지 소유자 정택일 은 분할곤련 서명 자필 승인한바 없기에 거짓말이라판단되여 kbs시청자 칼럼에서 2일간 군청 소통과 조충환직원 취재하여 정택일소유자가 분할에 대한 승인 사실이 없기에 2016.1.27.28. 전국에 방송 되였습니다.전북 부안군 하서면 장신리 700-2번지 (장신리 2165번지) 농림부.왜 농림부에서 소유했는지 소유권 정택일 이전 요구하였고,부안군청에 소유권 이전 서류등 제출하였습니다.그라나 갑질그대로 이전하지않고 회신조차 없습니다.부안군청 건설과는 부안구민의 토지를 소유자 정택일 모르게 분할하여 점유하고모르쇠 하고 있습니다.정택일은 토지대금을 일체 받은사실이 없습니다.장신리 700-2번지 위치에 옆 축사가 있는데 축사옆 장신리 700-2번지에 스레트쌓아놓고 수십년 방치하여 올 여름에 스레트 치워줄것을 요구하였우나 이행되자않고있어.부안군청 친환경축산과/자원순환팀장에게 신고되여 2017.12.1. 현장 방문하여벤젤 바람물질등 검사하고 그결과를 알려주기로 했지만 1개월이 지나도 회신받기가 어려울것 같습니다.1.장신리700-2번지 (2165번지) 토지 소유권 이전과.2.장신리 농소마을 정택일 집뒤에 축사가 방치되여 스래트등 건축페기물 등 신고를 신고 하였으나 아무조치없이 또 새해가 되고 있습니다.물론 스레트등 바람물질이 잘모르겠지만 군청공무원등 관계 기관에 모르는지 알고도 직무유기를 하는지 증거인명등도 유무를 모르고 근심 걱정이 됩니다.청와대 신문고에 글올린후 관계기관 공무원은 사실관계를 확인하는 절차가 필요할것 같습니다적페청산은 절대발전에 절대 필요 한것 입니다.예를 들면 서울시 청앞등 도로에 운전자가 알아서 운전하면되지 왜 바싼땅 에 중앙선을 그렸느냐 말하는사람 없을것 입니다.2015.12.28.한일 위안부 합의가 위안부 누님단체 의견은 무시하였기에 무제가 된것 입니다.국정농단등 국정원 특활비등 주앙지검 조사와 방문조사조차 거부하고 있으니 매를 더벌고 있습니다.국토부에서 환경부에서 살펴보시고 민원 처리하여 주시기 바람니다2017.12.30정택일 미원인 010 9666 4113 ..오ㅔ ㅐ느,"2018-03-15",,"2018-03-20","부안읍","처리완료","주산면"
421,"산지관리법 위반 추가 진술서","전라북도 부안군 계화면 창북리 607-5현수막이 바람에 펄럭이고있어 넘무위험함*  *(1/1) G: 2017/10/30 17:34:26G:*","2017-11-08",,"2017-11-09","푸른도시과","처리완료","부안읍"
422,"빠른시정바랍니다","익산시 영등동 삼성모바일과 르꼬끄 의류 매장사이에 포장마차가 2개 있는데하나는 한 3~4년 방치돼 있었고하나는 작년부터 방치돼 있는데 전화로 철거요청을 몇차례 민원을 제기하였으나 기다려보라는 답변이 있었으나아직도 처리가 안돼고 있어 시정에 바란다에 글을 올립니다.밤에는 포장마차 뒤에서 여럿이 모여 남학생들이 담배를 피고 학생들의 우범장소로 전락할수 있는 장소입니다.그쪽 길은 의류매장에 근무하는 여직원들이 많이 다니는 길인데 어둡고, 사고 위험이 있어 가로등을 밝게 설치해 주셨으면합니다.빠른 조치 부탁드립니다.","2017-09-16","2017-09-16","2017-09-19","도로공원과","처리완료","부안읍"
423,"오산면  군익로  익산 더샵 아파트 입구  근처 불법현수막 신고","주행 중 우회전 방해 및정차 후 쓰레기 무단투기처리시 벌금금액, 처리 과정, 처리 결과 안내 받았으면 합니다홈페이지 오류로 인해 동영상이 첨부되지 않는 점,확인하시고 담당자 이메일 주소 남겨주시면 원본 동영상 보내드리겠습니다 해당 게시물이 '부조리 신문고'에서 이동 되었습니다.","2016-06-10","2016-06-10","2016-06-20","도로관리과","처리완료","부안읍"
424,"북부시장주차장","안녕하십니까 익산시 조직개편안이 작년 연말에 익산시의회를 통과하였고익산시 조직개편에 따른 인사발령이 2017년1월20일(1월23일 시행) 났고그에 따른 부서들이 익산시 북부청사에 입주를 했는데도안내하는 기능이 미비한것 같습니다 익산시민의 눈으로 익산시 북부청사를 보면서 몇글자 적은것입니다하루라도 빨리 시행되기를 바랍니다 자세한 사항은 첨부자료로 대신합니다 감사합니다","2017-01-17","2017-01-17","2017-01-18","민생경제과","처리완료","부안읍"
425,"장수와 장안산을 지켜야합니다.","p서울에서 아이들과 함께 장수군에서 운영하는 사과시험장 수확체험 행사에 참여하면서/p

p감사인사를 드립니다^^/p

p군수님 농업기술센터 사과수확체험 담당자가 여자분이셨는데 너무나 친철하시고/p

p사과 착황이 전년도에 비해 좋지 않았는데도 불구하고 환한 미소를 잃지 않고 저희/p

p가족를 반갑게 맞이해 주셨을뿐아니라 찾아오시는 손님들에게 다가가 자세하게/p

p설명도 해주셨던 선생님께 다시한번 감사인사를 드리면서 군수님 꼭 격려를 해주셨으면 합니다./p

p장수군의 발전을 기원하겠습니다./p","2016-07-07",,"2016-07-13","대외협력","처리완료","부안읍"
426,"어떤게 맞는건지요..","익산에 주소지를 두고 거주중인 임신20주차 임신부 입니다.임신중 행정복지센터에 비치 된 팜플렛을 보아하니 익산시 출산장려금 부분에 있어서 첫째아이의 경우, 현금30만원과 축하용품 20만원 지원해서 총 50만원의 장려금이 있다는 내용을 보았습니다.그러던 중 익산소식지를 둘러보다보니, [익산시민의 자존심! 30만 인구 반드시 지켜냅시다]라는 타이틀로 내용이 써있기를..	인구정책 전담부서 설치	출산장려금 지원범위 확대 및 지원금 인상	당초 : 둘째부터 지급, 최대 500만원	변경 : 첫째부터 지금, 최대 1000만원	익산시 인구증가시책 지원조례 제정	전입학생 학자금 지원, 전입세대 인센티브 지급	관내 대학생 학자금 대출이자 지원(연 3,400만원)	실거주자 중심 전입운동	기업유치 및 귀농귀촌 정책 강화위의 내용이 있었는데요.제가 팜플렛에서 보았던 출산장려금 50만원과는 별도의 장려금 인건가요??시행되고 있는 제도 인가요?? 아니면, 시행 할 예정에 있는 제도인건가요??현재 첫아이를 임신중이기에 확실히 알고 싶어서 질문올립니다.","2017-09-07","2017-09-07","2017-10-06","기획예산과","처리완료","계화면"
427,"(SPP-1802-0100170)인도파손 고쳐주세요 * 첨부파일촬영시간 안내(안전신문","<장애인 전용주차구역 불법주차> 대명콘도 장애인주차장 불법주차및주차증 구형임 (1/2) A : 2018.01.28 06:12:07 (2/2) A : 2018.01.28 06:13:21 A :  : I :  .[ (02-2195-1129~30)]","2018-02-01",,"2018-02-09","푸른도시과","처리완료","부안읍"
428,"겨울에는 제설작업 필수!!","먼저 군산시 발전에 노고가 많으십니다먼저 이번에 한국지엠 사원아파트 앞에 3거리가 되면서 사원아파트부터 장둑마을 입구까지 기존에 없던 인도를 만들어도 될만큼 공간이 많은데 어찌 그 자리에 인도는 하나도 안만들었는지 이해가 가질 않습,"2017-01-20","2017-01-20",,"건설과","처리중","부안읍"
429,"모현동 고현교회 옆 삼거리 교통안전","익산시육아종합지원센터 앞 불법주정차 그동안 수 없이 제기했다. 거듭 절미하고 이곳은 어린이보호구역 이라 혀를 짤라 말했고,자짓 도로를 진입하는 차량의 시야를 방해하는 교통 흐름까지 막는다 침이 마르도록 열변을 토했다. 특히 아이들의 안전을 신경 써야 할 이곳에 양심의 가책도 없는 인간들이 자신의 편리를 위해 자신의 아이 뿐 아니라 모든 아이들을 죽이는 역지사지에 처 한 상황도 모른 채 병들게 만든 장본인으로 전락하고 있다. 이는 분명히 요람에서 무덤까지 아이들을 키워야 하는 자신들에  의해 그냥 무덤으로 직행 고속도로를 달리는 있는 것에 자폭을 요청한다. 그리고 익산시와 육아종합지원센터 관계자는 이를 묵고하지 말고 성의 있는 태도를 보여 달라 당부한다.","2017-01-19","2017-01-19","2017-01-23","교통행정과","처리완료","부안읍"
430,"[생활불편신고]기타 생활불편",": 전라북도 부안군 부안읍 내요리 203-2가로등 2개의 불이 들어오지 않습니다-------------------------------------------------------------------------------------------------------------------------○ .","2018-03-22",,"2018-03-30","건설교통과","처리완료","부안읍"
431,"1AA-1708-254098 민원이 어떻게 처리되는지 궁금합니다.","가로등 신규설치*스캔 참고*방문민원으로 직접서신통보 또는 e-그린우편 통해 답변 통지 필요","2018-05-28",,"2018-05-28","건설교통과","처리완료","부안읍"
